store_id,product_id,price,unit_price,best_price_30,anchor_price,special_price
0001,01310151,1.35,6.75,,1.15,
0001,01310251,2.59,12.95,,1.79,
0001,01310284,1.15,5.75,,1.09,
0001,01310460,2.55,12.75,,2.55,
0001,01310533,3.19,16.79,,3.19,
0001,01310957,2.45,12.25,,2.19,
0001,01311158,2.09,10.45,,2.39,
0001,01311183,3.69,22.36,,3.69,
0001,01311184,3.69,22.36,,3.69,
0001,01311186,3.69,22.36,,3.69,
0001,01318018,5.99,39.93,,5.69,
0001,01400000,2.19,7.30,,1.99,
0001,01400011,1.39,5.56,,1.29,
0001,01400034,1.39,2.78,2.09,1.99,1.39
0001,01400044,1.49,3.73,,1.49,
0001,01400049,1.49,1.49,,1.99,
0001,01400070,1.29,1.29,,1.19,
0005,01310151,1.35,6.75,,1.09,
0005,01310251,2.52,12.60,,1.79,
0005,01310284,1.15,5.75,,1.06,
0005,01310533,3.09,16.26,,3.19,
0005,01310957,2.39,11.95,,2.12,
0005,01311158,2.05,10.25,,2.35,
0005,01311183,3.69,22.36,,3.69,
0005,01311184,3.69,22.36,,3.69,
0005,01311186,3.69,22.36,,3.69,
0005,01318018,5.89,39.27,,5.59,
0005,01400000,2.19,7.30,,1.99,
0005,01400011,1.39,5.56,,1.29,
0005,01400034,1.39,2.78,2.09,1.99,1.39
0005,01400044,1.49,3.73,,1.49,
0005,01400049,1.49,1.49,,1.99,
0005,01400070,1.29,1.29,,1.19,
